n,p,r,s,Dinic,EK,MPM
3200,0.5,3200,876904091158,,,7.46204
3400,0.5,3400,857896497824,,,7.14155
3600,0.5,3600,206335044511,,,10.3544
3800,0.5,3800,745587921991,,,12.3571
4000,0.5,4000,689879108722,,,9.90418
4200,0.5,4200,730489819688,,,13.2209
4400,0.5,4400,48545359061,,,16.3687
4600,0.5,4600,778478913764,,,16.7304
4800,0.5,4800,833709923329,,,27.929
5000,0.5,5000,294622561309,,,25.3136
1000,0.5,1000,988562915295,,,0.249709
1200,0.5,1200,978627861770,,,0.31646
1400,0.5,1400,389223120219,,,0.98209
1600,0.5,1600,180080553075,,,0.778153
1800,0.5,1800,331397692476,,,1.13333
2000,0.5,2000,269402863214,,,1.35256
2200,0.5,2200,830908469601,,,1.90149
2400,0.5,2400,200100709586,,,3.15128
2600,0.5,2600,681747620514,,,2.69692
2800,0.5,2800,632378686890,,,5.21863
3000,0.5,3000,618221419665,,,4.7394
3200,0.5,3200,41858953584,,,7.50981
3400,0.5,3400,231966482458,,,7.12375
3600,0.5,3600,35207247079,,,10.2552
3800,0.5,3800,197551402749,,,9.19243
4000,0.5,4000,893440126585,,,11.0418
4200,0.5,4200,470203547660,,,13.7939
4400,0.5,4400,713535772860,,,19.4617
4600,0.5,4600,393213985237,,,16.9565
4800,0.5,4800,891632485874,,,18.9359
5000,0.5,5000,144961245598,,,22.9547
1000,0.5,1000,540801249950,,,0.228255
1200,0.5,1200,222696434776,,,0.225781
1400,0.5,1400,896063278336,,,0.523303
1600,0.5,1600,178188568969,,,0.56059
1800,0.5,1800,764590539456,,,0.919349
2000,0.5,2000,801800247308,,,1.09919
2200,0.5,2200,265968025114,,,1.98784
2400,0.5,2400,569656744943,,,3.16737
2600,0.5,2600,563331664527,,,3.45604
2800,0.5,2800,508832615275,,,4.98165
3000,0.5,3000,275689174992,,,4.99786
3200,0.5,3200,774888006949,,,7.09149
3400,0.5,3400,792803931743,,,8.34475
3600,0.5,3600,723168365675,,,9.01626
3800,0.5,3800,990655630038,,,8.24777
4000,0.5,4000,559442647561,,,13.9165
4200,0.5,4200,215464684522,,,12.489
4400,0.5,4400,110473671240,,,17.9787
4600,0.5,4600,979498480429,,,22.003
4800,0.5,4800,132342664048,,,18.6711
5000,0.5,5000,760257921702,,,22.3195
1000,0.6,1000,337151804992,,,0.130924
1200,0.6,1200,714634485360,,,0.353361
1400,0.6,1400,870420718185,,,0.540435
1600,0.6,1600,113963468702,,,0.80951
1800,0.6,1800,98681915048,,,1.37028
2000,0.6,2000,957519034178,,,2.33221
2200,0.6,2200,983878743665,,,2.59254
