n,p,r,s,Dinic,EK,MPM
1300,0.4,1300,260519488359,,15.6887,
1400,0.4,1400,181486039300,,30.6889,
1500,0.4,1500,423465014876,,17.2065,
400,0.4,400,235409949198,,0.0474367,
500,0.4,500,422970868082,,0.103178,
600,0.4,600,963268364371,,0.155194,
700,0.4,700,100873949336,,0.975389,
800,0.4,800,110247263890,,3.11532,
900,0.4,900,278602270086,,2.02101,
1000,0.4,1000,164711846631,,5.72672,
1100,0.4,1100,600613360197,,5.79579,
1200,0.4,1200,881482859920,,10.7243,
1300,0.4,1300,698013461326,,16.6937,
1400,0.4,1400,506358155184,,21.6547,
1500,0.4,1500,32268031308,,17.3698,
400,0.4,400,435930839633,,0.230561,
500,0.4,500,684762812595,,0.518929,
600,0.4,600,756715898588,,0.570473,
700,0.4,700,36702863321,,0.596313,
800,0.4,800,163625991026,,3.10052,
900,0.4,900,105928959708,,2.64126,
1000,0.4,1000,731093011057,,8.21326,
1100,0.4,1100,531781065615,,10.176,
1200,0.4,1200,449772329189,,7.5002,
1300,0.4,1300,891685615070,,9.24766,
1400,0.4,1400,333382462763,,16.8529,
1500,0.4,1500,54289258615,,33.1224,
400,0.5,400,127516003094,,0.164284,
500,0.5,500,349106979635,,0.51532,
600,0.5,600,685940401459,,0.49969,
700,0.5,700,202592927004,,2.42114,
800,0.5,800,717871251040,,3.42619,
900,0.5,900,813436808068,,4.5915,
1000,0.5,1000,494845611224,,11.7397,
1100,0.5,1100,148843814857,,12.9258,
1200,0.5,1200,979809086726,,11.0462,
1300,0.5,1300,757669205000,,19.4884,
1400,0.5,1400,927449406961,,28.5963,
1500,0.5,1500,162671888935,,38.8374,
400,0.5,400,311737445120,,0.130198,
500,0.5,500,215337350808,,0.400319,
600,0.5,600,333066983117,,0.316799,
700,0.5,700,10493701303,,0.999258,
800,0.5,800,590344091201,,3.44236,
900,0.5,900,981828401097,,6.1568,
1000,0.5,1000,710306632195,,9.68179,
1100,0.5,1100,609140260765,,17.4544,
1200,0.5,1200,933817053044,,20.2124,
1300,0.5,1300,483164061749,,21.1433,
1400,0.5,1400,91223207591,,25.6693,
1500,0.5,1500,899062882566,,31.9215,
400,0.5,400,607137687774,,0.0677445,
500,0.5,500,457202024652,,0.587483,
600,0.5,600,793428716327,,0.942159,
700,0.5,700,360254516679,,1.11761,
800,0.5,800,886900884455,,3.19006,
900,0.5,900,666610311143,,4.32833,
1000,0.5,1000,772439447970,,8.87313,
1100,0.5,1100,188571999837,,10.4862,
1200,0.5,1200,108323340693,,14.5415,
1300,0.5,1300,245539702731,,20.9215,
1400,0.5,1400,391821237190,,28.7393,
1500,0.5,1500,68608439565,,28.5458,
400,0.5,400,498383407453,,0.238972,
500,0.5,500,718876228122,,0.292212,
600,0.5,600,555018735246,,1.15988,
700,0.5,700,2553716000,,2.69344,
800,0.5,800,991580365148,,5.67346,
900,0.5,900,598775581377,,5.01668,
1000,0.5,1000,934622429833,,8.52229,
1100,0.5,1100,19535382770,,17.7584,
1200,0.5,1200,143855232885,,19.2575,
1300,0.5,1300,782065874362,,31.3077,
1400,0.5,1400,551102059650,,32.4506,
1500,0.5,1500,232385673896,,32.665,
400,0.5,400,921255426090,,0.18379,
500,0.5,500,166554526717,,0.488971,
600,0.5,600,463723791014,,1.07934,
700,0.5,700,243962388896,,3.48674,
800,0.5,800,38775787636,,4.57269,
900,0.5,900,116914838369,,10.1493,
1000,0.5,1000,328975148662,,10.3045,
1100,0.5,1100,252802109440,,16.45,
1200,0.5,1200,338968029035,,11.4208,
1300,0.5,1300,749157391874,,33.0409,
1400,0.5,1400,315328012919,,38.3976,
1500,0.5,1500,69344744946,,29.1366,
400,0.6,400,964994176917,,0.617095,
500,0.6,500,27827940465,,0.587277,
600,0.6,600,106022538034,,1.34112,
700,0.6,700,400358913521,,3.47816,
800,0.6,800,281783467039,,6.20145,
900,0.6,900,535977953069,,7.27135,
1000,0.6,1000,270407526842,,18.2997,
1100,0.6,1100,901967660698,,24.299,
1200,0.6,1200,375461224638,,23.1986,
1300,0.6,1300,38112559980,,30.3418,
1400,0.6,1400,548404290738,,41.4912,
1500,0.6,1500,333768240386,,52.7403,
400,0.6,400,13857756361,,0.301546,
500,0.6,500,933199891178,,0.930772,
600,0.6,600,751773481185,,1.75095,
700,0.6,700,3993899200,,4.65046,
800,0.6,800,354038940521,,7.79569,
900,0.6,900,381795302211,,9.56717,
1000,0.6,1000,287368716084,,14.03,
1100,0.6,1100,610514421060,,20.4151,
1200,0.6,1200,174975461468,,26.2189,
1300,0.6,1300,759628595617,,51.6761,
1400,0.6,1400,996026523240,,49.9201,
1500,0.6,1500,490896290606,,44.2182,
400,0.6,400,347632149844,,0.694743,
500,0.6,500,523717548622,,1.07756,
600,0.6,600,850557320414,,2.92899,
700,0.6,700,843460781072,,5.50669,
800,0.6,800,43202528327,,8.96959,
900,0.6,900,551554625817,,10.8973,
1000,0.6,1000,534990527491,,16.7531,
1100,0.6,1100,4170418852,,17.8404,
1200,0.6,1200,67826326612,,33.8725,
1300,0.6,1300,123148124535,,40.2318,
1400,0.6,1400,499316371618,,50.3269,
1500,0.6,1500,608693007747,,45.6108,
400,0.6,400,614616861626,,0.363289,
500,0.6,500,79747103759,,1.39006,
600,0.6,600,611950801015,,1.69379,
700,0.6,700,502837434627,,3.99045,
800,0.6,800,466808914489,,9.76237,
900,0.6,900,249094059475,,7.53133,
1000,0.6,1000,903053589535,,15.6366,
1100,0.6,1100,306067014933,,20.1068,
1200,0.6,1200,741631362452,,21.4271,
1300,0.6,1300,317394666740,,32.0862,
1400,0.6,1400,75060361051,,44.1712,
1500,0.6,1500,790127779542,,43.0346,
400,0.6,400,710863817256,,0.288934,
500,0.6,500,609624152833,,1.17858,
600,0.6,600,842133317387,,1.74871,
700,0.6,700,686405916785,,4.32253,
800,0.6,800,520506210027,,5.45334,
900,0.6,900,583938292544,,7.41781,
1000,0.6,1000,25490412675,,18.9779,
1100,0.6,1100,749089649716,,19.1466,
1200,0.6,1200,681798469568,,31.9906,
1300,0.6,1300,686690752681,,31.7492,
1400,0.6,1400,484860584743,,49.7645,
1500,0.6,1500,141779438438,,45.5221,
400,0.7,400,86611917911,,0.859353,
500,0.7,500,975335646874,,1.65637,
600,0.7,600,567850406923,,3.7779,
700,0.7,700,613312326049,,5.7601,
800,0.7,800,665183613893,,9.70522,
900,0.7,900,685791225952,,10.8556,
1000,0.7,1000,843890277751,,28.0288,
1100,0.7,1100,589964720918,,29.9927,
1200,0.7,1200,507377022418,,35.213,
1300,0.7,1300,749725112138,,50.7568,
1400,0.7,1400,514130374664,,54.7635,
1500,0.7,1500,812321917126,,58.603,
400,0.7,400,468904305972,,0.176136,
500,0.7,500,992128433785,,1.51096,
600,0.7,600,834426490376,,1.39578,
700,0.7,700,60775162032,,6.02897,
800,0.7,800,532583143162,,11.689,
