n_vert,prob,range,seed,Dinic_time,EK_time,MPM_time
575,0.1,700,26020,0.00364095,0.0320529,0.0100946
575,0.2,820,56853,0.00651381,0.0945927,0.0151727
575,0.3,840,84281,0.0113685,0.391352,0.0252089
575,0.4,860,31160,0.0108762,0.424297,0.0259362
575,0.5,880,91248,0.00945248,0.52009,0.0245495
575,0.6,900,13245,0.00812096,0.815648,0.0489162
600,0.1,800,36020,0.00360266,0.0418215,0.0117914
600,0.2,820,56853,0.0036603,0.0487491,0.0109607
600,0.3,840,14281,0.00902967,0.22396,0.0224743
600,0.4,860,71160,0.00534914,0.186081,0.0266281
600,0.5,880,21248,0.015274,0.682713,0.0387607
600,0.6,900,13245,0.00836836,0.985365,0.0337991
625,0.1,920,36230,0.0032427,0.0429838,0.0104415
625,0.2,940,55433,0.0023957,0.040136,0.0092295
625,0.3,960,12281,0.0063891,0.142733,0.0203191
625,0.4,980,21160,0.00716,0.195242,0.025958
625,0.5,980,41248,0.0041235,0.395172,0.0227562
625,0.6,1000,62345,0.0085565,0.708787,0.0319502
650,0.1,1020,32445,0.0028615,0.0522393,0.0103899
650,0.2,1040,56854,0.0036148,0.083701,0.0127729
650,0.3,1040,23281,0.0125118,0.398651,0.0380549
650,0.4,1060,53160,0.0048151,0.269376,0.0202365
650,0.5,1080,23548,0.0121815,0.51483,0.0374653
650,0.6,1100,23245,0.0138842,0.871886,0.044349
675,0.1,1120,36570,0.0036739,0.0546524,0.014846
675,0.2,1140,55753,0.0058121,0.160799,0.0163024
675,0.3,1160,18881,0.0046641,0.159242,0.0233038
675,0.4,1180,71656,0.0067949,0.248525,0.0283537
675,0.5,1180,21878,0.0131011,0.499785,0.0490487
675,0.6,1200,13575,0.0111309,0.938119,0.0395137
725,0.1,1220,38576,0.002809,0.0417365,0.0140233
725,0.2,1240,65785,0.0014557,0.0404796,0.0090147
725,0.3,1260,13581,0.0023253,0.112936,0.0097024
725,0.4,1280,35160,0.0078427,0.273803,0.0428653
725,0.5,1300,65248,0.0080095,0.618498,0.031335
